year,gat,cat
1796,8.27,24.39
1797,8.51,25.17
1798,8.67,24.05
1799,8.51,24.68
1800,8.48,24.67
1801,8.59,23.94
1802,8.58,25.18
1803,8.5,24.95
1804,8.84,25.33
1805,8.56,24.8
1806,8.43,24.68
1807,8.28,24
1808,7.63,
1809,7.08,
1810,6.92,
1811,6.86,
1812,7.05,
1813,7.74,24.03
1814,7.59,23.49
1815,7.24,23.58
1816,6.94,23.13
1817,6.98,23.37
1818,7.83,23.8
1819,7.37,23.54
1820,7.62,23.67
1821,8.09,24.24
1822,8.19,24.25
1823,7.72,24.28
1824,8.55,24.84
1825,8.39,24.54
1826,8.36,24.64
1827,8.81,24.64
1828,8.17,24.4
1829,7.94,24.23
1830,8.52,24.36
1831,7.64,24.08
1832,7.45,24.29
1833,8.01,24.29
1834,8.15,24.36
1835,7.39,23.56
1836,7.7,23.96
1837,7.38,23.92
1838,7.51,23.99
1839,7.63,24.04
1840,7.8,24.12
1841,7.69,23.87
1842,8.02,24.18
1843,8.17,23.92
1844,7.65,23.88
1845,7.85,24.17
1846,8.55,24.69
1847,8.09,24.15
1848,7.98,24.15
1849,7.98,24.07
1850,7.9,24.23
1851,8.18,24.16
1852,8.1,24.2
1853,8.04,24.41
1854,8.21,24.53
1855,8.11,24.55
1856,8,24.04
1857,7.76,23.69
1858,8.1,24.35
1859,8.25,24.41
1860,7.96,24.19
1861,7.85,24.06
1862,7.56,21.86
1863,8.11,
1864,7.98,
1865,8.18,24.64
1866,8.29,24.65
1867,8.44,24.69
1868,8.25,24.61
1869,8.43,24.66
1870,8.2,24.28
1871,8.12,24.31
1872,8.19,24.32
1873,8.35,24.4
1874,8.43,24.42
1875,7.86,24.49
1876,8.08,24.89
1877,8.54,25.13
1878,8.83,25.07
1879,8.17,24.03
1880,8.12,24.57
1881,8.27,24.51
1882,8.13,24.29
1883,7.98,23.89
1884,7.77,23.94
1885,7.92,24.34
1886,7.95,24.42
1887,7.91,23.94
1888,8.09,24.72
1889,8.32,24.74
1890,7.97,24.51
1891,8.02,24.64
1892,8.07,24.7
1893,8.06,23.89
1894,8.16,24.55
1895,8.15,24.6
1896,8.21,25.29
1897,8.29,25.01
1898,8.18,24.89
1899,8.4,24.95
1900,8.5,25.29
1901,8.54,24.81
1902,8.3,25.35
1903,8.22,24.41
1904,8.09,24.69
1905,8.23,24.45
1906,8.38,24.51
1907,7.95,24.49
1908,8.19,24.3
1909,8.18,24.47
1910,8.22,24.22
1911,8.18,24.78
1912,8.17,25.01
1913,8.3,24.64
1914,8.59,24.69
1915,8.59,24.79
1916,8.23,24.59
1917,8.02,23.91
1918,8.13,24.76
1919,8.38,24.78
1920,8.36,24.87
1921,8.57,24.77
1922,8.41,24.57
1923,8.42,24.56
1924,8.51,24.87
1925,8.53,24.61
1926,8.73,24.86
1927,8.52,24.54
1928,8.63,24.71
1929,8.24,24.84
1930,8.63,24.61
1931,8.72,24.88
1932,8.71,24.59
1933,8.34,24.38
1934,8.63,24.26
1935,8.52,24.37
1936,8.55,24.67
1937,8.7,24.43
1938,8.86,24.34
1939,8.76,24.6
1940,8.76,24.59
1941,8.77,25.57
1942,8.73,25
1943,8.76,24.48
1944,8.85,24.75
1945,8.58,24.4
1946,8.68,24.76
1947,8.8,24.79
1948,8.75,25.06
1949,8.59,24.82
1950,8.37,24.54
1951,8.63,24.98
1952,8.64,24.98
1953,8.87,25.09
1954,8.56,24.68
1955,8.63,24.68
1956,8.28,24.5
1957,8.73,24.95
1958,8.77,25.28
1959,8.73,25.11
1960,8.58,25.02
1961,8.8,24.66
1962,8.75,24.66
1963,8.86,24.8
1964,8.41,24.63
1965,8.53,24.96
1966,8.6,25.26
1967,8.7,25.05
1968,8.52,24.68
1969,8.6,25.37
1970,8.7,24.74
1971,8.6,24.54
1972,8.5,25.31
1973,8.95,25.18
1974,8.47,24.87
1975,8.74,24.47
1976,8.35,25.05
1977,8.85,25.3
1978,8.69,24.81
1979,8.73,25.28
1980,8.98,25.33
1981,9.17,25
1982,8.64,25.21
1983,9.03,24.7
1984,8.69,24.99
1985,8.66,25.02
1986,8.83,25.26
1987,8.99,25.61
1988,9.2,25.29
1989,8.92,24.86
1990,9.23,24.78
1991,9.18,25.06
1992,8.84,25.14
1993,8.87,25.06
1994,9.04,24.84
1995,9.35,25.24
1996,9.04,25.34
1997,9.2,25.21
1998,9.52,25.55
1999,9.29,25.1
2000,9.2,25.11
2001,9.41,25.34
2002,9.57,25.58
2003,9.53,25.75
2004,9.32,25.32
2005,9.7,25.09
2006,9.53,25.31
2007,9.73,25.58
2008,9.43,25.23
2009,9.51,25.87
2010,9.7,25.75
2011,9.52,25.16
2012,9.51,25.3
2013,9.61,25.85
